ocean_0-700m,ocean_0-700m_error,ocean_700-2000m,ocean_700-2000m_error,ocean_>2000m,ocean_>2000m_error,ocean_full-depth_error,yrs,ocean_full-depth,antarctica,antarctica_error,greenland,greenland_error,glaciers,glaciers_error,seaice,seaice_error,iceshelf,iceshelf_error,cryosphere,cryosphere_error,atmosphere,atmosphere_error,land,land_error,Total,Total_error,units,error_units,pi_total
107.3197735,21.40804522,37.94046667,8.212587961,5.75,1.732522796,31.35315598,1996.5,151.0102402,0.143224577,0.752118653,0.183052541,0.243949649,0.985551669,0.634154469,1.323935743,0.5513004,1.323935743,0.5513004,3.415988531,1.164012329,2.199842662,0.275664151,9.551823139,1.281837285,166.1778945,31.40214025,ZJ,ZJ (1-sigma),80.47188
107.3728969,20.35334996,37.86623333,8.713078899,6.9,2.079027356,31.14545621,1997.5,152.1391302,0.149885907,0.7540074,0.182855815,0.248105705,1.050051077,0.658499355,1.16338985,0.5513004,1.16338985,0.5513004,3.374502649,1.182082113,2.984624147,0.275664151,10.01989603,1.310243428,168.518153,31.19662625,ZJ,ZJ (1-sigma),83.6907552
97.81228373,19.91014419,38.7715,9.189031535,8.05,2.425531915,31.52470764,1998.5,144.6337837,0.153467656,0.755766269,0.194116124,0.25192139,1.136173979,0.682821196,1.341200592,0.5513004,1.341200592,0.5513004,3.701374351,1.200534191,5.732217669,0.275664151,10.48619509,1.338837445,164.5535708,31.57715869,ZJ,ZJ (1-sigma),86.9096304
96.6356736,23.41631607,36.40756667,10.51738046,9.2,2.772036474,36.70573301,1999.5,142.2432403,0.159340077,0.757458162,0.216184005,0.255424003,1.210502673,0.707191944,1.53084793,0.5513004,1.53084793,0.5513004,4.041386685,1.219432528,2.225128472,0.275664151,10.97479963,1.368897021,159.4845551,36.75251993,ZJ,ZJ (1-sigma),90.1285056
103.7477743,35.38995918,42.59116667,9.037015075,10.35,3.118541033,47.54551528,2000.5,156.688941,0.166951136,0.759038419,0.232274422,0.25864615,1.273861805,0.721470527,1.763750112,0.5513004,1.763750112,0.5513004,4.453700475,1.233505829,1.841692403,0.275664151,11.4670701,1.398842633,174.451404,47.58287835,ZJ,ZJ (1-sigma),93.3473808
125.9912667,38.33235836,46.4206,8.471369472,11.5,3.465045593,50.26877343,2001.5,183.9118667,0.176447123,0.76053259,0.251345187,0.261749561,1.333871585,0.725515074,1.625275535,0.5513004,1.625275535,0.5513004,4.54040843,1.242748476,3.220137119,0.275664151,11.96803617,1.428788245,203.6404484,50.30518296,ZJ,ZJ (1-sigma),96.566256
135.5353272,36.94562539,54.67156667,7.355832621,12.65,3.811550152,48.11300817,2002.5,202.8568938,0.186513182,0.761960845,0.28777754,0.265836273,1.393881365,0.729559621,1.773159979,0.5513004,1.773159979,0.5513004,4.931407066,1.252692565,4.139154077,0.196902961,12.4776969,1.458733618,224.4051519,48.15181687,ZJ,ZJ (1-sigma),99.7851312
153.6745124,23.66908064,60.3135,6.855993316,13.8,4.158054711,34.68312866,2003.5,227.7880124,0.204447779,0.763494691,0.335399994,0.269652275,1.453891145,0.733604168,1.966497757,0.5513004,1.966497757,0.5513004,5.386917676,1.263166173,3.926837087,0.196902961,12.99605322,1.48867923,250.0978204,34.73859438,ZJ,ZJ (1-sigma),103.0040064
156.0907097,16.23356177,66.27313333,6.79486042,14.95,4.504559271,27.53298146,2004.5,237.313843,0.228747048,0.765085116,0.393287438,0.272576622,1.513900925,0.737648715,2.123843255,0.5513004,2.123843255,0.5513004,5.823065665,1.273991752,3.587024689,0.196902961,13.52310419,1.518624842,260.2470376,27.60494729,ZJ,ZJ (1-sigma),106.2228816
163.6560775,11.93582688,70.84996667,6.698437171,16.1,4.85106383,23.48532788,2005.5,250.6060442,0.248429634,0.766590098,0.457430201,0.275406486,1.573910705,0.741693262,2.300472519,0.5513004,2.300472519,0.5513004,6.280136059,1.285240381,4.302939296,0.196902961,14.05885172,1.548570454,275.2479712,23.57221478,ZJ,ZJ (1-sigma),109.4417568
